STT,Time,Ngày,Tháng,Năm,Ngày-tháng-năm,PM2.5,Nhiệt độ,Độ ẩm
1,01-10-2022 0:00,01,10,2022,01-10-2022,83.48,29.83,84.2
2,01-10-2022 1:00,01,10,2022,01-10-2022,70.75,29.77,85.48
3,01-10-2022 2:00,01,10,2022,01-10-2022,45.28,29.66,86.52
4,01-10-2022 3:00,01,10,2022,01-10-2022,37.11,29.63,86.38
5,01-10-2022 4:00,01,10,2022,01-10-2022,36.44,29.58,86.06
6,01-10-2022 5:00,01,10,2022,01-10-2022,27.45,29.45,85.79
7,01-10-2022 6:00,01,10,2022,01-10-2022,62.26,29.37,85.71
8,01-10-2022 7:00,01,10,2022,01-10-2022,58.41,29.29,86.42
9,01-10-2022 8:00,01,10,2022,01-10-2022,31.06,29.26,88.46
10,01-10-2022 9:00,01,10,2022,01-10-2022,19.97,29.77,84.02
11,01-10-2022 10:00,01,10,2022,01-10-2022,12.81,30.16,81.1
12,01-10-2022 11:00,01,10,2022,01-10-2022,9.88,31.08,78.41
13,01-10-2022 12:00,01,10,2022,01-10-2022,6.42,31.62,76.65
14,01-10-2022 13:00,01,10,2022,01-10-2022,8.24,31.77,77.21
15,01-10-2022 14:00,01,10,2022,01-10-2022,5.23,32.2,74.33
16,01-10-2022 15:00,01,10,2022,01-10-2022,5.33,32.81,72.56
17,01-10-2022 16:00,01,10,2022,01-10-2022,5.8,32.96,72.99
18,01-10-2022 17:00,01,10,2022,01-10-2022,11.9,31.57,76.19
19,01-10-2022 18:00,01,10,2022,01-10-2022,19.58,31.08,77.85
20,01-10-2022 19:00,01,10,2022,01-10-2022,41.69,31.02,79.3
21,01-10-2022 20:00,01,10,2022,01-10-2022,11.56,30.5,78.24
22,01-10-2022 21:00,01,10,2022,01-10-2022,24.51,30.84,77.61
23,01-10-2022 22:00,01,10,2022,01-10-2022,93.39,30.89,78.43
24,01-10-2022 23:00,01,10,2022,01-10-2022,101.52,30.77,79.55
25,02-10-2022 0:00,02,10,2022,02-10-2022,79.15,30.68,80.1
26,02-10-2022 1:00,02,10,2022,02-10-2022,46.26,30.57,80.52
27,02-10-2022 2:00,02,10,2022,02-10-2022,67.93,30.47,80.94
28,02-10-2022 3:00,02,10,2022,02-10-2022,136.28,30.39,81.48
29,02-10-2022 4:00,02,10,2022,02-10-2022,68.26,30.24,81.78
30,02-10-2022 5:00,02,10,2022,02-10-2022,55.06,30.15,82.12
31,02-10-2022 6:00,02,10,2022,02-10-2022,49.63,30.06,82.41
32,02-10-2022 7:00,02,10,2022,02-10-2022,64.87,29.82,83.09
33,02-10-2022 8:00,02,10,2022,02-10-2022,64.59,29.79,83.36
34,02-10-2022 9:00,02,10,2022,02-10-2022,61.7,30,83.94
35,02-10-2022 10:00,02,10,2022,02-10-2022,21.46,30.39,82.85
36,02-10-2022 11:00,02,10,2022,02-10-2022,18.17,30.53,82.3
37,02-10-2022 12:00,02,10,2022,02-10-2022,14.2,30.49,83.04
38,02-10-2022 13:00,02,10,2022,02-10-2022,14.57,29.71,86.23
39,02-10-2022 14:00,02,10,2022,02-10-2022,14.95,29.77,85.98
40,02-10-2022 15:00,02,10,2022,02-10-2022,11.19,30.91,81.76
41,02-10-2022 16:00,02,10,2022,02-10-2022,9.07,30.78,80.52
42,02-10-2022 17:00,02,10,2022,02-10-2022,12.28,30.35,81.36
43,02-10-2022 18:00,02,10,2022,02-10-2022,20.88,30.07,81.4
44,02-10-2022 19:00,02,10,2022,02-10-2022,26.62,30.04,81.94
45,02-10-2022 20:00,02,10,2022,02-10-2022,11.77,29.83,81.53
46,02-10-2022 21:00,02,10,2022,02-10-2022,9.27,29.86,81.89
47,02-10-2022 22:00,02,10,2022,02-10-2022,23.35,29.93,82.48
48,02-10-2022 23:00,02,10,2022,02-10-2022,16.39,29.88,83.03
49,03-10-2022 0:00,03,10,2022,03-10-2022,20.98,29.8,83.36
50,03-10-2022 1:00,03,10,2022,03-10-2022,29.59,29.7,83.67
51,03-10-2022 2:00,03,10,2022,03-10-2022,47.68,29.61,83.89
52,03-10-2022 3:00,03,10,2022,03-10-2022,223.48,29.53,84.11
53,03-10-2022 4:00,03,10,2022,03-10-2022,219.92,29.46,84.33
54,03-10-2022 5:00,03,10,2022,03-10-2022,275.05,29.33,84.93
55,03-10-2022 6:00,03,10,2022,03-10-2022,286.5,29.29,85.19
56,03-10-2022 7:00,03,10,2022,03-10-2022,155.77,29.25,85.2
57,03-10-2022 8:00,03,10,2022,03-10-2022,28,29.28,84.07
58,03-10-2022 9:00,03,10,2022,03-10-2022,18.11,29.61,82.11
59,03-10-2022 10:00,03,10,2022,03-10-2022,16.12,30.51,78.32
60,03-10-2022 11:00,03,10,2022,03-10-2022,11.82,31.41,74.47
61,03-10-2022 12:00,03,10,2022,03-10-2022,11.23,31.76,73.65
62,03-10-2022 13:00,03,10,2022,03-10-2022,11.14,31.87,74.07
63,03-10-2022 14:00,03,10,2022,03-10-2022,5.73,31.93,73.84
64,03-10-2022 15:00,03,10,2022,03-10-2022,13.52,31.44,77.64
65,03-10-2022 16:00,03,10,2022,03-10-2022,17.66,31.14,76.67
66,03-10-2022 17:00,03,10,2022,03-10-2022,17.33,31.25,78.27
67,03-10-2022 18:00,03,10,2022,03-10-2022,9.84,30.86,77.86
68,03-10-2022 19:00,03,10,2022,03-10-2022,22.66,30.95,78.38
69,03-10-2022 20:00,03,10,2022,03-10-2022,47.47,30.86,79.61
70,03-10-2022 21:00,03,10,2022,03-10-2022,35.05,30.8,80.52
71,03-10-2022 22:00,03,10,2022,03-10-2022,27.89,30.7,81.07
72,03-10-2022 23:00,03,10,2022,03-10-2022,86.4,30.65,81.76
73,04-10-2022 0:00,04,10,2022,04-10-2022,105.55,30.56,82.18
74,04-10-2022 1:00,04,10,2022,04-10-2022,89.51,30.36,82.55
75,04-10-2022 2:00,04,10,2022,04-10-2022,90.95,30.2,83.23
76,04-10-2022 3:00,04,10,2022,04-10-2022,161.53,30,83.95
77,04-10-2022 4:00,04,10,2022,04-10-2022,309.22,29.7,84.59
78,04-10-2022 5:00,04,10,2022,04-10-2022,172.36,29.45,85.09
79,04-10-2022 6:00,04,10,2022,04-10-2022,136.65,29.34,85.21
80,04-10-2022 7:00,04,10,2022,04-10-2022,81.39,29.07,85.48
81,04-10-2022 8:00,04,10,2022,04-10-2022,54.77,29.38,85.94
82,04-10-2022 9:00,04,10,2022,04-10-2022,39.85,30.06,82.36
83,04-10-2022 10:00,04,10,2022,04-10-2022,44.41,30.28,82.72
84,04-10-2022 11:00,04,10,2022,04-10-2022,50.03,30.58,80.73
85,04-10-2022 12:00,04,10,2022,04-10-2022,53.95,31.04,79.96
86,04-10-2022 13:00,04,10,2022,04-10-2022,51.22,31.31,77.33
87,04-10-2022 14:00,04,10,2022,04-10-2022,46.3,31.49,77.75
88,04-10-2022 15:00,04,10,2022,04-10-2022,46.26,31.93,77.62
89,04-10-2022 16:00,04,10,2022,04-10-2022,23.68,31.81,75.07
90,04-10-2022 17:00,04,10,2022,04-10-2022,15.14,31.42,73.53
91,04-10-2022 18:00,04,10,2022,04-10-2022,15.29,31.18,70.71
92,04-10-2022 19:00,04,10,2022,04-10-2022,15.59,30.96,72.61
93,04-10-2022 20:00,04,10,2022,04-10-2022,14.12,30.81,74.39
94,04-10-2022 21:00,04,10,2022,04-10-2022,14.81,32.13,74.3
95,04-10-2022 22:00,04,10,2022,04-10-2022,38.26,32.74,75.67
96,04-10-2022 23:00,04,10,2022,04-10-2022,48.81,31.22,77.07
97,05-10-2022 0:00,05,10,2022,05-10-2022,39.75,30.58,78.42
98,05-10-2022 1:00,05,10,2022,05-10-2022,24.52,30.46,78.32
99,05-10-2022 2:00,05,10,2022,05-10-2022,94.97,30.38,78.72
100,05-10-2022 3:00,05,10,2022,05-10-2022,65.79,30.27,79.12
101,05-10-2022 4:00,05,10,2022,05-10-2022,66.32,29.94,79.88
102,05-10-2022 5:00,05,10,2022,05-10-2022,30.54,29.84,80.4
103,05-10-2022 6:00,05,10,2022,05-10-2022,248.32,29.64,81.88
104,05-10-2022 7:00,05,10,2022,05-10-2022,188.8,29.4,83.1
105,05-10-2022 8:00,05,10,2022,05-10-2022,96.54,29.41,84.41
106,05-10-2022 9:00,05,10,2022,05-10-2022,64.51,30.17,79.42
107,05-10-2022 10:00,05,10,2022,05-10-2022,25.72,31.08,73.55
108,05-10-2022 11:00,05,10,2022,05-10-2022,14.07,31.88,70.06
109,05-10-2022 12:00,05,10,2022,05-10-2022,11.39,32.41,69.31
110,05-10-2022 13:00,05,10,2022,05-10-2022,11.58,31.59,75.02
111,05-10-2022 14:00,05,10,2022,05-10-2022,57.13,30.59,83.33
112,05-10-2022 15:00,05,10,2022,05-10-2022,43.92,31.45,80.1
113,05-10-2022 16:00,05,10,2022,05-10-2022,6.27,31.18,75.05
114,05-10-2022 17:00,05,10,2022,05-10-2022,11.77,31.15,77.68
115,05-10-2022 18:00,05,10,2022,05-10-2022,12.72,31.06,76.26
116,05-10-2022 19:00,05,10,2022,05-10-2022,10.73,31.03,76.36
117,05-10-2022 20:00,05,10,2022,05-10-2022,20.81,31.05,78.11
118,05-10-2022 21:00,05,10,2022,05-10-2022,11,30.68,78.38
119,05-10-2022 22:00,05,10,2022,05-10-2022,10.61,30.55,77.47
120,05-10-2022 23:00,05,10,2022,05-10-2022,8.19,30.44,77.85
121,06-10-2022 0:00,06,10,2022,06-10-2022,7.97,30.35,79.64
122,06-10-2022 1:00,06,10,2022,06-10-2022,9.9,30.21,79.54
123,06-10-2022 2:00,06,10,2022,06-10-2022,10.89,30.26,79.11
124,06-10-2022 3:00,06,10,2022,06-10-2022,34.86,30.21,79.86
125,06-10-2022 4:00,06,10,2022,06-10-2022,146.18,30.01,82.38
126,06-10-2022 5:00,06,10,2022,06-10-2022,108.5,29.78,82.62
127,06-10-2022 6:00,06,10,2022,06-10-2022,69.94,29.7,82.38
128,06-10-2022 7:00,06,10,2022,06-10-2022,60.27,29.74,81.96
129,06-10-2022 8:00,06,10,2022,06-10-2022,46.59,29.63,83.04
130,06-10-2022 9:00,06,10,2022,06-10-2022,37.73,30.28,80.77
131,06-10-2022 10:00,06,10,2022,06-10-2022,12.14,30.9,77.53
132,06-10-2022 11:00,06,10,2022,06-10-2022,15.23,31.11,77.42
133,06-10-2022 12:00,06,10,2022,06-10-2022,9.96,30.87,76.97
134,06-10-2022 13:00,06,10,2022,06-10-2022,6.9,30.48,79.46
135,06-10-2022 14:00,06,10,2022,06-10-2022,7.52,31.17,77.68
136,06-10-2022 15:00,06,10,2022,06-10-2022,6.41,31.31,78.59
137,06-10-2022 16:00,06,10,2022,06-10-2022,7.76,31.19,80.55
138,06-10-2022 17:00,06,10,2022,06-10-2022,13.11,30.83,82.4
139,06-10-2022 18:00,06,10,2022,06-10-2022,49.88,31.14,79.41
140,06-10-2022 19:00,06,10,2022,06-10-2022,42.36,31.08,78.55
141,06-10-2022 20:00,06,10,2022,06-10-2022,56.88,31.05,78.57
142,06-10-2022 21:00,06,10,2022,06-10-2022,50.18,30.93,79.09
143,06-10-2022 22:00,06,10,2022,06-10-2022,63.68,30.82,79.32
144,06-10-2022 23:00,06,10,2022,06-10-2022,152.95,30.61,79.95
145,07-10-2022 0:00,07,10,2022,07-10-2022,296.14,30.5,80.58
146,07-10-2022 1:00,07,10,2022,07-10-2022,285.38,30.45,80.72
147,07-10-2022 2:00,07,10,2022,07-10-2022,348.87,30.32,81.3
148,07-10-2022 3:00,07,10,2022,07-10-2022,448.67,29.99,82.63
149,07-10-2022 4:00,07,10,2022,07-10-2022,283.59,29.77,82.77
150,07-10-2022 5:00,07,10,2022,07-10-2022,126.98,29.76,81.9
151,07-10-2022 6:00,07,10,2022,07-10-2022,136.56,29.55,82.46
152,07-10-2022 7:00,07,10,2022,07-10-2022,114.44,29.38,83.34
153,07-10-2022 8:00,07,10,2022,07-10-2022,76.21,29.38,84.07
154,07-10-2022 9:00,07,10,2022,07-10-2022,56.42,30.11,80.48
155,07-10-2022 10:00,07,10,2022,07-10-2022,62.92,30.66,79.31
156,07-10-2022 11:00,07,10,2022,07-10-2022,61.84,31.37,76.01
157,07-10-2022 12:00,07,10,2022,07-10-2022,59.14,31.97,74.59
158,07-10-2022 13:00,07,10,2022,07-10-2022,57.34,32.45,72.35
159,07-10-2022 14:00,07,10,2022,07-10-2022,41.87,32.56,71.66
160,07-10-2022 15:00,07,10,2022,07-10-2022,16.59,31.91,73.91
161,07-10-2022 16:00,07,10,2022,07-10-2022,26.78,30.14,83.16
162,07-10-2022 17:00,07,10,2022,07-10-2022,52.5,30.5,83.72
163,07-10-2022 18:00,07,10,2022,07-10-2022,41.04,30.93,82.45
164,07-10-2022 19:00,07,10,2022,07-10-2022,40.31,30.96,81.61
165,07-10-2022 20:00,07,10,2022,07-10-2022,39.57,30.98,81.97
166,07-10-2022 21:00,07,10,2022,07-10-2022,46.94,30.86,82.36
167,07-10-2022 22:00,07,10,2022,07-10-2022,85.16,30.68,82.96
168,07-10-2022 23:00,07,10,2022,07-10-2022,238.99,30.41,83.98
169,08-10-2022 0:00,08,10,2022,08-10-2022,166.8,30.13,84.61
170,08-10-2022 1:00,08,10,2022,08-10-2022,154.56,29.81,85.48
171,08-10-2022 2:00,08,10,2022,08-10-2022,263.23,29.78,84.96
172,08-10-2022 3:00,08,10,2022,08-10-2022,193.12,29.39,85.74
173,08-10-2022 4:00,08,10,2022,08-10-2022,122.25,29.23,85.53
174,08-10-2022 5:00,08,10,2022,08-10-2022,100.27,29.09,86.02
175,08-10-2022 6:00,08,10,2022,08-10-2022,45.04,29.1,85.82
176,08-10-2022 7:00,08,10,2022,08-10-2022,25.79,28.95,85.3
177,08-10-2022 8:00,08,10,2022,08-10-2022,30.82,28.72,87
178,08-10-2022 9:00,08,10,2022,08-10-2022,22.57,28.71,86.57
179,08-10-2022 10:00,08,10,2022,08-10-2022,21.97,28.94,86.01
180,08-10-2022 11:00,08,10,2022,08-10-2022,8.78,28.66,86.41
181,08-10-2022 12:00,08,10,2022,08-10-2022,10.8,28.43,87.98
182,08-10-2022 13:00,08,10,2022,08-10-2022,11.27,28.16,91.78
183,08-10-2022 14:00,08,10,2022,08-10-2022,10.16,28.49,91.55
184,08-10-2022 15:00,08,10,2022,08-10-2022,45.47,28.94,90.1
185,08-10-2022 16:00,08,10,2022,08-10-2022,52.83,29.3,89.85
186,08-10-2022 17:00,08,10,2022,08-10-2022,69.72,29.29,88.75
187,08-10-2022 18:00,08,10,2022,08-10-2022,81.58,29.39,88.81
188,08-10-2022 19:00,08,10,2022,08-10-2022,75.22,29.52,87.17
189,08-10-2022 20:00,08,10,2022,08-10-2022,83.61,29.43,86.88
190,08-10-2022 21:00,08,10,2022,08-10-2022,87.2,29.41,86.23
191,08-10-2022 22:00,08,10,2022,08-10-2022,119.73,29.3,86.01
192,08-10-2022 23:00,08,10,2022,08-10-2022,126.99,29.25,85.9
193,09-10-2022 0:00,09,10,2022,09-10-2022,126.75,29.1,86.11
194,09-10-2022 1:00,09,10,2022,09-10-2022,119.37,28.99,85.98
195,09-10-2022 2:00,09,10,2022,09-10-2022,96.28,28.94,85.61
196,09-10-2022 3:00,09,10,2022,09-10-2022,73.9,28.87,85.6
197,09-10-2022 4:00,09,10,2022,09-10-2022,65.53,28.8,85.65
198,09-10-2022 5:00,09,10,2022,09-10-2022,58.49,28.76,85.7
199,09-10-2022 6:00,09,10,2022,09-10-2022,97.98,28.74,85.86
200,09-10-2022 7:00,09,10,2022,09-10-2022,128.33,28.69,86.23
201,09-10-2022 8:00,09,10,2022,09-10-2022,134.99,28.68,87.09
202,09-10-2022 9:00,09,10,2022,09-10-2022,108.69,28.61,90.92
203,09-10-2022 10:00,09,10,2022,09-10-2022,77.24,29.28,88.87
204,09-10-2022 11:00,09,10,2022,09-10-2022,56.56,29.36,86.3
205,09-10-2022 12:00,09,10,2022,09-10-2022,66.71,29.3,85.82
206,09-10-2022 13:00,09,10,2022,09-10-2022,42.41,29.68,82.64
207,09-10-2022 14:00,09,10,2022,09-10-2022,122.97,29.82,83.87
208,09-10-2022 15:00,09,10,2022,09-10-2022,79.49,30,84
209,09-10-2022 16:00,09,10,2022,09-10-2022,67.37,30.36,83.23
210,09-10-2022 17:00,09,10,2022,09-10-2022,61.45,30.24,83.55
211,09-10-2022 18:00,09,10,2022,09-10-2022,48.3,29.89,84.41
212,09-10-2022 19:00,09,10,2022,09-10-2022,54.85,29.63,85.11
213,09-10-2022 20:00,09,10,2022,09-10-2022,48.99,29.54,85.56
214,09-10-2022 21:00,09,10,2022,09-10-2022,37.25,29.47,86.59
215,09-10-2022 22:00,09,10,2022,09-10-2022,35.73,29.41,87.06
216,09-10-2022 23:00,09,10,2022,09-10-2022,32.82,29.36,87.41
217,10-10-2022 0:00,10,10,2022,10-10-2022,44.37,29.27,87.86
218,10-10-2022 1:00,10,10,2022,10-10-2022,66.84,29.17,87.93
219,10-10-2022 2:00,10,10,2022,10-10-2022,56.85,29.09,87.72
220,10-10-2022 3:00,10,10,2022,10-10-2022,14.46,28.92,86.5
221,10-10-2022 4:00,10,10,2022,10-10-2022,8.65,28.8,85.93
222,10-10-2022 5:00,10,10,2022,10-10-2022,17.91,28.71,86.22
223,10-10-2022 6:00,10,10,2022,10-10-2022,40.61,28.65,86.51
224,10-10-2022 7:00,10,10,2022,10-10-2022,55.08,28.59,86.36
225,10-10-2022 8:00,10,10,2022,10-10-2022,23.71,28.31,87.03
226,10-10-2022 9:00,10,10,2022,10-10-2022,17.85,28.65,86.29
227,10-10-2022 10:00,10,10,2022,10-10-2022,51.25,29,84.93
228,10-10-2022 11:00,10,10,2022,10-10-2022,63.13,29.27,82.16
229,10-10-2022 12:00,10,10,2022,10-10-2022,57.05,29.95,80.24
